Motion Database Converter
  Frame 512: 34.48/93.23
  Frame 513: 34.48/93.32
  Frame 514: 34.49/93.39
  Frame 515: 34.48/93.37
  Frame 516: 34.47/93.41
  Frame 517: 34.45/93.54
  Frame 518: 34.44/93.57
  Frame 519: 34.43/93.65
  Frame 520: 34.41/93.74
  Frame 521: 34.38/93.88
  Frame 522: 34.33/94.16
  Frame 523: 34.32/94.13
  Frame 524: 34.30/94.18
  Frame 525: 34.29/94.36
  Frame 526: 34.27/94.50
  Frame 527: 34.26/94.51
  Frame 528: 34.25/94.63
  Frame 529: 34.22/94.82
  Frame 530: 34.20/94.78
  Frame 531: 34.20/94.73
  Frame 532: 34.18/94.76
  Frame 533: 34.18/94.74
  Frame 534: 34.19/94.85
  Frame 535: 34.20/94.88
  Frame 536: 34.21/94.91
  Frame 537: 34.22/94.76
  Frame 538: 34.22/94.82
  Frame 539: 34.21/94.89
  Frame 540: 34.22/94.80
  Frame 541: 34.22/94.83
  Frame 542: 34.24/94.93
  Frame 543: 34.25/94.96
  Frame 544: 34.29/94.97
  Frame 545: 34.32/94.99
  Frame 546: 34.35/94.89
  Frame 547: 34.39/94.80
  Frame 548: 34.42/95.01
  Frame 549: 34.48/94.86
  Frame 550: 34.54/94.96
  Frame 551: 34.60/95.20
  Frame 552: 34.65/95.32
  Frame 553: 34.70/95.21
  Frame 554: 34.74/95.03
  Frame 555: 34.79/94.91
  Frame 556: 34.87/94.95
  Frame 557: 34.94/94.77
  Frame 558: 35.03/94.77
  Frame 559: 35.08/94.99
  Frame 560: 35.16/94.38
  Frame 561: 35.25/94.57
  Frame 562: 35.32/94.71
  Frame 563: 35.37/94.76
  Frame 564: 35.45/95.07
  Frame 565: 35.50/95.28
  Frame 566: 35.57/95.35
  Frame 567: 35.63/94.70
  Frame 568: 35.73/94.51
  Frame 569: 35.84/93.58
  Frame 570: 35.93/93.54
  Frame 571: 36.00/93.70
  Frame 572: 36.06/94.06
  Frame 573: 36.15/93.28
  Frame 574: 36.31/93.03
  Frame 575: 36.40/92.94
  Frame 576: 36.50/91.66
  Frame 577: 36.58/92.01
  Frame 578: 36.67/91.57
  Frame 579: 36.77/91.51
  Frame 580: 36.97/92.41
  Frame 581: 37.18/93.49
  Frame 582: 37.25/93.93
  Frame 583: 37.36/94.22
  Frame 584: 37.53/95.59
  Frame 585: 37.72/96.61
  Frame 586: 37.86/97.14
  Frame 587: 38.00/97.96
  Frame 588: 38.17/98.41
  Frame 589: 38.26/98.70
  Frame 590: 38.40/99.68
  Frame 591: 38.49/100.67
  Frame 592: 38.58/100.58
  Frame 593: 38.68/100.92
  Frame 594: 38.81/101.62
  Frame 595: 38.89/101.73
  Frame 596: 38.98/102.32
  Frame 597: 39.02/102.72
  Frame 598: 39.12/102.74
  Frame 599: 39.11/102.67
  Frame 600: 39.17/102.84
  Frame 601: 39.14/102.51
  Frame 602: 39.16/102.50
  Frame 603: 39.15/102.22
  Frame 604: 39.13/101.99
  Frame 605: 39.11/101.76
  Frame 606: 39.08/101.58
  Frame 607: 39.06/101.54
  Frame 608: 39.04/101.66
  Frame 609: 38.98/101.42
  Frame 610: 38.90/101.37
  Frame 611: 38.89/101.19
  Frame 612: 38.84/101.16
  Frame 613: 38.79/101.33
  Frame 614: 38.70/101.08
  Frame 615: 38.64/101.03
  Frame 616: 38.52/100.55
  Frame 617: 38.42/100.16
  Frame 618: 38.30/99.87
  Frame 619: 38.17/99.63
  Frame 620: 38.05/98.85
  Frame 621: 37.91/98.40
  Frame 622: 37.80/97.83
  Frame 623: 37.66/97.29
  Frame 624: 37.53/96.49
  Frame 625: 37.39/96.24
  Frame 626: 37.29/95.69
  Frame 627: 37.16/94.56
  Frame 628: 36.99/94.18
  Frame 629: 36.85/93.24
  Frame 630: 36.69/92.57
  Frame 631: 36.52/92.03
  Frame 632: 36.43/91.14
  Frame 633: 36.35/90.20
  Frame 634: 36.25/89.23
  Frame 635: 36.09/88.63
  Frame 636: 36.00/88.91
  Frame 637: 35.86/89.48
  Frame 638: 35.74/90.66
  Frame 639: 35.63/90.96
  Frame 640: 35.56/91.55
  Frame 641: 35.48/92.29
  Frame 642: 35.39/92.32
  Frame 643: 35.35/92.84
  Frame 644: 35.24/93.36
  Frame 645: 35.16/93.62
  Frame 646: 35.10/93.44
  Frame 647: 35.00/93.30
  Frame 648: 34.92/93.59
  Frame 649: 34.83/94.21
  Frame 650: 34.75/94.25
  Frame 651: 34.69/94.62
  Frame 652: 34.63/94.48
  Frame 653: 34.59/94.03
  Frame 654: 34.50/94.24
  Frame 655: 34.47/94.48
  Frame 656: 34.42/94.42
  Frame 657: 34.41/94.50
  Frame 658: 34.37/94.14
  Frame 659: 34.32/94.13
  Frame 660: 34.29/94.15
  Frame 661: 34.24/93.92
  Frame 662: 34.20/94.50
  Frame 663: 34.22/94.64
  Frame 664: 34.16/94.10
  Frame 665: 34.14/94.44
  Frame 666: 34.14/94.25
  Frame 667: 34.13/94.25
  Frame 668: 34.10/94.53
  Frame 669: 34.11/94.56
  Frame 670: 34.11/94.73
  Frame 671: 34.10/94.79
  Frame 672: 34.09/94.79
  Frame 673: 34.11/95.07
  Frame 674: 34.08/95.06
  Frame 675: 34.10/95.19
  Frame 676: 34.10/95.01
  Frame 677: 34.11/95.25
  Frame 678: 34.13/95.30
  Frame 679: 34.16/95.62
  Frame 680: 34.17/95.73
  Frame 681: 34.17/95.93
  Frame 682: 34.20/95.98
  Frame 683: 34.23/95.96
  Frame 684: 34.26/96.11
  Frame 685: 34.28/95.94
  Frame 686: 34.29/96.07
  Frame 687: 34.32/95.88
  Frame 688: 34.37/95.85
  Frame 689: 34.38/95.94
  Frame 690: 34.41/96.01
  Frame 691: 34.46/95.80
  Frame 692: 34.47/95.95
  Frame 693: 34.51/95.87
  Frame 694: 34.54/95.95
  Frame 695: 34.58/95.92
  Frame 696: 34.59/95.76
  Frame 697: 34.62/95.79
  Frame 698: 34.64/95.64
  Frame 699: 34.64/95.83
  Frame 700: 34.65/95.71
  Frame 701: 34.67/95.81
  Frame 702: 34.66/95.73
  Frame 703: 34.66/95.70
  Frame 704: 34.65/95.61
  Frame 705: 34.63/95.53
  Frame 706: 34.61/95.49
  Frame 707: 34.60/95.42
  Frame 708: 34.56/95.46
  Frame 709: 34.55/95.48
  Frame 710: 34.51/95.26
  Frame 711: 34.48/95.36
  Frame 712: 34.45/95.35
  Frame 713: 34.43/95.37
  Frame 714: 34.39/95.42
  Frame 715: 34.36/95.51
  Frame 716: 34.33/95.44
  Frame 717: 34.30/95.57
  Frame 718: 34.28/95.78
  Frame 719: 34.27/95.88
  Frame 720: 34.24/95.92
  Frame 721: 34.23/96.18
  Frame 722: 34.20/95.88
  Frame 723: 34.19/96.12
  Frame 724: 34.18/95.82
  Frame 725: 34.16/96.03
  Frame 726: 34.18/96.31
  Frame 727: 34.14/96.28
  Frame 728: 34.17/96.15
  Frame 729: 34.17/96.37
  Frame 730: 34.17/96.47
  Frame 731: 34.16/96.21
  Frame 732: 34.15/96.38
  Frame 733: 34.15/96.74
  Frame 734: 34.16/96.64
  Frame 735: 34.16/96.68
  Frame 736: 34.23/96.48
  Frame 737: 34.24/95.99
  Frame 738: 34.25/95.93
  Frame 739: 34.27/95.74
  Frame 740: 34.29/95.64
  Frame 741: 34.30/95.33
  Frame 742: 34.34/95.10
  Frame 743: 34.38/95.02
  Frame 744: 34.39/94.90
  Frame 745: 34.42/94.75
  Frame 746: 34.45/94.72
  Frame 747: 34.47/94.56
  Frame 748: 34.50/94.73
  Frame 749: 34.54/94.97
  Frame 750: 34.57/94.92
  Frame 751: 34.62/95.10
  Frame 752: 34.68/95.27
  Frame 753: 34.72/95.65
  Frame 754: 34.76/95.72
  Frame 755: 34.81/95.55
  Frame 756: 34.87/95.96
  Frame 757: 34.95/96.24
  Frame 758: 35.03/96.58
  Frame 759: 35.10/96.60
  Frame 760: 35.17/96.84
  Frame 761: 35.23/96.87
  Frame 762: 35.32/96.59
  Frame 763: 35.39/96.76
  Frame 764: 35.45/96.80
  Frame 765: 35.53/96.96
  Frame 766: 35.62/97.40
  Frame 767: 35.66/97.16
  Frame 768: 35.74/96.97
  Frame 769: 35.83/97.20
  Frame 770: 35.92/96.84
  Frame 771: 36.00/97.21
  Frame 772: 36.08/96.53
  Frame 773: 36.15/95.28
  Frame 774: 36.25/95.38
  Frame 775: 36.32/96.28
  Frame 776: 36.43/95.62
  Frame 777: 36.48/95.50
  Frame 778: 36.54/95.47
  Frame 779: 36.65/96.02
  Frame 780: 36.74/96.41
  Frame 781: 36.87/96.56
  Frame 782: 36.93/97.16
  Frame 783: 37.05/97.54
  Frame 784: 37.12/97.84
  Frame 785: 37.15/97.56
  Frame 786: 37.15/98.19
  Frame 787: 37.19/98.32
  Frame 788: 37.23/98.19
  Frame 789: 37.24/98.06
  Frame 790: 37.26/98.03
  Frame 791: 37.20/97.98
  Frame 792: 37.17/97.95
  Frame 793: 37.18/97.71
  Frame 794: 37.13/97.36
  Frame 795: 37.13/97.20
  Frame 796: 37.13/97.33
  Frame 797: 37.09/97.56
  Frame 798: 37.07/97.33
  Frame 799: 37.01/97.12
  Frame 800: 36.94/97.05
  Frame 801: 36.97/97.70
  Frame 802: 36.91/97.84
  Frame 803: 36.90/97.97
  Frame 804: 36.84/97.80
  Frame 805: 36.78/97.21
  Frame 806: 36.71/97.36
  Frame 807: 36.64/97.47
  Frame 808: 36.57/97.08
  Frame 809: 36.56/97.12
  Frame 810: 36.46/96.81
  Frame 811: 36.42/97.01
  Frame 812: 36.34/96.80
  Frame 813: 36.26/96.50
  Frame 814: 36.22/96.23
  Frame 815: 36.15/96.79
  Frame 816: 36.10/96.37
  Frame 817: 35.99/95.98
  Frame 818: 35.88/95.81
  Frame 819: 35.72/95.41
  Frame 820: 35.61/95.18
  Frame 821: 35.53/94.91
  Frame 822: 35.44/94.27
  Frame 823: 35.18/93.64
  Frame 824: 34.95/93.18
  Frame 825: 34.86/92.90
  Frame 826: 34.79/92.93
  Frame 827: 34.69/92.22
  Frame 828: 34.62/91.78
  Frame 829: 34.52/91.36
  Frame 830: 34.38/90.87
  Frame 831: 34.22/90.30
  Frame 832: 34.15/90.01
  Frame 833: 34.05/90.09
  Frame 834: 33.93/89.56
  Frame 835: 33.86/89.38
  Frame 836: 33.69/89.17
  Frame 837: 33.63/89.04
  Frame 838: 33.53/88.40
  Frame 839: 33.38/89.00
  Frame 840: 33.28/88.91
  Frame 841: 33.15/88.41
  Frame 842: 33.02/88.03
  Frame 843: 32.85/88.09
  Frame 844: 32.74/87.78
  Frame 845: 32.61/87.28
  Frame 846: 32.42/87.33
  Frame 847: 32.24/86.87
  Frame 848: 32.11/86.42
  Frame 849: 31.99/86.55
  Frame 850: 31.85/85.69
  Frame 851: 31.70/85.39
  Frame 852: 31.53/84.99
  Frame 853: 31.37/84.90
  Frame 854: 31.26/84.32
  Frame 855: 31.14/83.80
  Frame 856: 31.03/83.47
  Frame 857: 30.92/83.12
  Frame 858: 30.80/82.59
  Frame 859: 30.58/82.12
  Frame 860: 30.29/81.69
  Frame 861: 30.16/81.05
  Frame 862: 30.05/80.72
  Frame 863: 29.98/80.50
  Frame 864: 29.86/80.49
  Frame 865: 29.72/80.50
  Frame 866: 29.61/80.69
  Frame 867: 29.52/80.55
  Frame 868: 29.44/80.50
  Frame 869: 29.36/80.51
  Frame 870: 29.29/80.52
  Frame 871: 29.22/80.37
  Frame 872: 29.14/80.33
  Frame 873: 29.09/80.29
  Frame 874: 29.05/80.25
  Frame 875: 29.00/80.24
  Frame 876: 28.96/80.12
  Frame 877: 28.93/80.04
  Frame 878: 28.89/80.09
  Frame 879: 28.89/80.01
  Frame 880: 28.84/79.89
  Frame 881: 28.85/80.00
  Frame 882: 28.82/79.87
  Frame 883: 28.84/79.75
  Frame 884: 28.88/79.73
  Frame 885: 28.89/79.70
  Frame 886: 28.92/79.62
  Frame 887: 28.96/79.59
  Frame 888: 28.98/79.48
  Frame 889: 29.04/79.47
  Frame 890: 29.10/79.39
  Frame 891: 29.15/79.37
  Frame 892: 29.19/79.21
  Frame 893: 29.21/79.25
  Frame 894: 29.25/79.16
  Frame 895: 29.28/79.14
  Frame 896: 29.32/79.09
  Frame 897: 29.34/79.06
  Frame 898: 29.38/78.99
  Frame 899: 29.41/78.98
  Frame 900: 29.42/78.97
  Frame 901: 29.46/78.94
  Frame 902: 29.50/78.86
  Frame 903: 29.52/78.81
  Frame 904: 29.56/78.80
  Frame 905: 29.58/78.74
  Frame 906: 29.61/78.76
  Frame 907: 29.61/78.87
  Frame 908: 29.62/78.93
  Frame 909: 29.61/79.05
  Frame 910: 29.63/79.03
  Frame 911: 29.62/79.11
  Frame 912: 29.62/79.15
  Frame 913: 29.63/79.13
  Frame 914: 29.64/79.18
  Frame 915: 29.63/79.25
  Frame 916: 29.62/79.32
  Frame 917: 29.62/79.33
  Frame 918: 29.63/79.37
  Frame 919: 29.64/79.37
  Frame 920: 29.65/79.39
  Frame 921: 29.66/79.34
  Frame 922: 29.66/79.32
  Frame 923: 29.66/79.34
  Frame 924: 29.67/79.28
  Frame 925: 29.68/79.27
  Frame 926: 29.67/79.27
  Frame 927: 29.66/79.28
  Frame 928: 29.66/79.28
  Frame 929: 29.65/79.32
  Frame 930: 29.64/79.32
  Frame 931: 29.64/79.33
  Frame 932: 29.64/79.37
  Frame 933: 29.64/79.35
  Frame 934: 29.63/79.38
  Frame 935: 29.64/79.41
  Frame 936: 29.63/79.39
  Frame 937: 29.64/79.40
  Frame 938: 29.64/79.44
  Frame 939: 29.65/79.45
  Frame 940: 29.65/79.39
  Frame 941: 29.64/79.54
  Frame 942: 29.65/79.50
  Frame 943: 29.65/79.50
  Frame 944: 29.65/79.50
  Frame 945: 29.65/79.45
  Frame 946: 29.66/79.50
  Frame 947: 29.67/79.51
  Frame 948: 29.67/79.49
  Frame 949: 29.67/79.49
  Frame 950: 29.68/79.46
  Frame 951: 29.69/79.38
  Frame 952: 29.69/79.39
  Frame 953: 29.70/79.42
  Frame 954: 29.70/79.36
  Frame 955: 29.70/79.41
  Frame 956: 29.71/79.33
  Frame 957: 29.70/79.29
  Frame 958: 29.71/79.24
  Frame 959: 29.71/79.25
  Frame 960: 29.70/79.24
  Frame 961: 29.70/79.21
  Frame 962: 29.71/79.22
  Frame 963: 29.70/79.15
  Frame 964: 29.70/79.21
  Frame 965: 29.70/79.22
  Frame 966: 29.70/79.21
  Frame 967: 29.69/79.20
  Frame 968: 29.69/79.22
  Frame 969: 29.69/79.15
  Frame 970: 29.69/79.16
  Frame 971: 29.68/79.17
  Frame 972: 29.68/79.16
  Frame 973: 29.68/79.12
  Frame 974: 29.68/79.08
  Frame 975: 29.69/79.08
  Frame 976: 29.68/79.04
  Frame 977: 29.69/79.01
  Frame 978: 29.68/78.98
  Frame 979: 29.68/79.00
  Frame 980: 29.68/79.00
  Frame 981: 29.68/78.95
  Frame 982: 29.67/78.94
  Frame 983: 29.67/78.95
  Frame 984: 29.67/78.94
  Frame 985: 29.67/78.93
  Frame 986: 29.66/78.94
  Frame 987: 29.66/78.89
  Frame 988: 29.65/78.89
  Frame 989: 29.65/78.96
  Frame 990: 29.65/78.95
  Frame 991: 29.65/78.96
  Frame 992: 29.64/78.97
  Frame 993: 29.65/78.96
  Frame 994: 29.65/78.91
  Frame 995: 29.66/78.93
  Frame 996: 29.66/78.91
  Frame 997: 29.66/78.92
  Frame 998: 29.66/78.92
  Frame 999: 29.67/78.90
  Frame 1000: 29.67/78.90
  Frame 1001: 29.67/78.87
  Frame 1002: 29.66/78.90
  Frame 1003: 29.66/78.91
  Frame 1004: 29.66/78.89
  Frame 1005: 29.66/78.85
  Frame 1006: 29.65/78.86
  Frame 1007: 29.65/78.84
  Frame 1008: 29.65/78.86
  Frame 1009: 29.65/78.88
  Frame 1010: 29.65/78.83
  Frame 1011: 29.65/78.82
  Frame 1012: 29.65/78.84
  Frame 1013: 29.65/78.85
  Frame 1014: 29.65/78.82
  Frame 1015: 29.65/78.84
  Frame 1016: 29.66/78.79
  Frame 1017: 29.66/78.77
  Frame 1018: 29.65/78.78
  Frame 1019: 29.65/78.76
  Frame 1020: 29.64/78.72
  Frame 1021: 29.64/78.71
  Frame 1022: 29.64/78.73
  Frame 1023: 29.63/78.71
  Frame 1024: 29.62/78.68
  Frame 1025: 29.62/78.69
  Frame 1026: 29.61/78.73
  Frame 1027: 29.60/78.68
  Frame 1028: 29.59/78.71
  Frame 1029: 29.59/78.71
  Frame 1030: 29.59/78.70
  Frame 1031: 29.59/78.71
  Frame 1032: 29.59/78.71
  Frame 1033: 29.60/78.71
  Frame 1034: 29.61/78.70
  Frame 1035: 29.61/78.73
  Frame 1036: 29.62/78.73
  Frame 1037: 29.62/78.72
  Frame 1038: 29.63/78.72
  Frame 1039: 29.63/78.73
  Frame 1040: 29.63/78.74
  Frame 1041: 29.63/78.72
  Frame 1042: 29.63/78.73
  Frame 1043: 29.62/78.72
  Frame 1044: 29.62/78.73
  Frame 1045: 29.62/78.72
  Frame 1046: 29.61/78.70
  Frame 1047: 29.60/78.72
  Frame 1048: 29.59/78.74
  Frame 1049: 29.58/78.74
  Frame 1050: 29.57/78.70
  Frame 1051: 29.56/78.77
  Frame 1052: 29.55/78.76
  Frame 1053: 29.53/78.77
  Frame 1054: 29.51/78.79
  Frame 1055: 29.51/78.80
  Frame 1056: 29.49/78.81
  Frame 1057: 29.48/78.83
  Frame 1058: 29.46/78.77
  Frame 1059: 29.46/78.77
  Frame 1060: 29.45/78.79
  Frame 1061: 29.44/78.77
  Frame 1062: 29.43/78.77
  Frame 1063: 29.42/78.77
  Frame 1064: 29.40/78.75
  Frame 1065: 29.38/78.80
  Frame 1066: 29.37/78.80
  Frame 1067: 29.34/78.87
  Frame 1068: 29.31/78.90
  Frame 1069: 29.30/78.89
  Frame 1070: 29.26/78.93
  Frame 1071: 29.24/78.98
  Frame 1072: 29.21/78.94
  Frame 1073: 29.19/78.93
  Frame 1074: 29.16/78.96
  Frame 1075: 29.13/78.96
  Frame 1076: 29.11/79.01
  Frame 1077: 29.08/79.04
  Frame 1078: 29.05/79.02
  Frame 1079: 29.03/79.06
  Frame 1080: 28.99/79.09
  Frame 1081: 28.97/79.07
  Frame 1082: 28.93/79.10
  Frame 1083: 28.91/79.11
  Frame 1084: 28.89/79.18
  Frame 1085: 28.86/79.18
  Frame 1086: 28.84/79.19
  Frame 1087: 28.83/79.20
  Frame 1088: 28.82/79.18
  Frame 1089: 28.80/79.25
  Frame 1090: 28.78/79.30
  Frame 1091: 28.79/79.29
  Frame 1092: 28.80/79.31
  Frame 1093: 28.78/79.39
  Frame 1094: 28.78/79.48
  Frame 1095: 28.80/79.59
  Frame 1096: 28.82/79.55
  Frame 1097: 28.84/79.61
  Frame 1098: 28.87/79.67
  Frame 1099: 28.91/79.66
  Frame 1100: 28.91/79.69
  Frame 1101: 28.95/79.78
  Frame 1102: 29.00/79.89
  Frame 1103: 29.02/79.86
  Frame 1104: 29.03/79.93
  Frame 1105: 29.06/79.95
  Frame 1106: 29.09/79.95
  Frame 1107: 29.13/79.98
  Frame 1108: 29.15/80.19
  Frame 1109: 29.20/80.21
  Frame 1110: 29.26/80.19
  Frame 1111: 29.34/80.27
  Frame 1112: 29.41/80.44
  Frame 1113: 29.47/80.37
  Frame 1114: 29.55/80.43
  Frame 1115: 29.59/80.34
  Frame 1116: 29.68/80.46
  Frame 1117: 29.79/80.85
  Frame 1118: 29.90/81.21
  Frame 1119: 30.01/81.45
  Frame 1120: 30.14/81.70
  Frame 1121: 30.30/81.97
  Frame 1122: 30.44/82.73
  Frame 1123: 30.61/83.31
  Frame 1124: 30.81/83.73
  Frame 1125: 30.98/84.29
  Frame 1126: 31.14/84.75
  Frame 1127: 31.36/85.23
  Frame 1128: 31.59/86.00
  Frame 1129: 31.75/86.38
  Frame 1130: 32.02/87.42
  Frame 1131: 32.09/87.08
  Frame 1132: 32.34/87.98
  Frame 1133: 32.49/88.37
  Frame 1134: 32.73/88.91
  Frame 1135: 32.88/89.12
  Frame 1136: 33.10/89.82
  Frame 1137: 33.21/89.82
  Frame 1138: 33.39/90.48
  Frame 1139: 33.56/90.78
  Frame 1140: 33.69/90.54
  Frame 1141: 33.82/90.71
  Frame 1142: 33.97/91.18
  Frame 1143: 34.16/91.71
  Frame 1144: 34.27/91.55
  Frame 1145: 34.43/92.08
  Frame 1146: 34.55/92.15
  Frame 1147: 34.71/93.25
  Frame 1148: 34.87/93.57
  Frame 1149: 34.94/93.68
  Frame 1150: 35.02/93.71
  Frame 1151: 35.17/94.10
  Frame 1152: 35.27/94.97
  Frame 1153: 35.35/94.86
  Frame 1154: 35.47/95.61
  Frame 1155: 35.51/95.21
  Frame 1156: 35.59/95.34
  Frame 1157: 35.64/95.34
  Frame 1158: 35.74/95.90
  Frame 1159: 35.81/96.07
  Frame 1160: 35.91/97.56
  Frame 1161: 35.99/97.20
  Frame 1162: 36.07/97.42
  Frame 1163: 36.15/98.18
  Frame 1164: 36.21/98.45
  Frame 1165: 36.23/99.65
  Frame 1166: 36.30/100.43
  Frame 1167: 36.36/100.67
  Frame 1168: 36.37/101.66
  Frame 1169: 36.40/102.12
  Frame 1170: 36.45/102.92
  Frame 1171: 36.45/103.57
  Frame 1172: 36.48/104.17
  Frame 1173: 36.51/104.57
  Frame 1174: 36.52/105.12
  Frame 1175: 36.58/105.29
  Frame 1176: 36.56/105.85
  Frame 1177: 36.58/106.21
  Frame 1178: 36.63/106.48
  Frame 1179: 36.65/106.68
  Frame 1180: 36.62/107.31
  Frame 1181: 36.67/107.42
  Frame 1182: 36.66/107.93
  Frame 1183: 36.66/108.22
  Frame 1184: 36.71/108.67
  Frame 1185: 36.71/108.95
  Frame 1186: 36.72/109.55
  Frame 1187: 36.73/109.85
  Frame 1188: 36.73/110.08
  Frame 1189: 36.75/110.39
  Frame 1190: 36.75/110.75
  Frame 1191: 36.76/111.12
  Frame 1192: 36.75/111.13
  Frame 1193: 36.75/111.27
  Frame 1194: 36.75/111.40
  Frame 1195: 36.75/111.46
  Frame 1196: 36.75/111.31
  Frame 1197: 36.74/111.43
  Frame 1198: 36.73/111.49
  Frame 1199: 36.73/111.48
  Frame 1200: 36.72/111.44
  Frame 1201: 36.71/111.51
  Frame 1202: 36.70/111.53
  Frame 1203: 36.69/111.52
  Frame 1204: 36.68/111.57
  Frame 1205: 36.68/111.51
  Frame 1206: 36.68/111.43
  Frame 1207: 36.68/111.49
  Frame 1208: 36.68/111.58
  Frame 1209: 36.67/111.67
  Frame 1210: 36.67/111.69
  Frame 1211: 36.67/111.80
  Frame 1212: 36.68/111.71
  Frame 1213: 36.68/111.79
  Frame 1214: 36.69/111.84
  Frame 1215: 36.70/111.85
  Frame 1216: 36.70/111.77
  Frame 1217: 36.70/111.85
  Frame 1218: 36.70/111.78
  Frame 1219: 36.69/111.79
  Frame 1220: 36.69/111.85
  Frame 1221: 36.69/111.81
  Frame 1222: 36.68/111.83
  Frame 1223: 36.70/111.77
  Frame 1224: 36.69/111.75
  Frame 1225: 36.69/111.83
  Frame 1226: 36.70/111.78
  Frame 1227: 36.70/111.78
  Frame 1228: 36.72/111.76
  Frame 1229: 36.73/111.77
  Frame 1230: 36.72/111.71
  Frame 1231: 36.73/111.66
  Frame 1232: 36.74/111.52
  Frame 1233: 36.75/111.49
  Frame 1234: 36.76/111.37
  Frame 1235: 36.77/111.36
  Frame 1236: 36.77/111.40
  Frame 1237: 36.77/111.39
  Frame 1238: 36.78/111.32
  Frame 1239: 36.77/111.40
  Frame 1240: 36.78/111.30
  Frame 1241: 36.79/111.35
  Frame 1242: 36.79/111.32
  Frame 1243: 36.78/111.32
  Frame 1244: 36.78/111.32
  Frame 1245: 36.80/111.22

The following line contains the information from above in a machine-readable format and can safely be ignored.
