Motion Database Converter
  Frame 3215: 32.26/85.59
  Frame 3216: 32.24/85.63
  Frame 3217: 32.24/85.66
  Frame 3218: 32.24/85.64
  Frame 3219: 32.23/85.68
  Frame 3220: 32.23/85.68
  Frame 3221: 32.23/85.64
  Frame 3222: 32.22/85.67
  Frame 3223: 32.22/85.65
  Frame 3224: 32.21/85.69
  Frame 3225: 32.21/85.64
  Frame 3226: 32.22/85.62
  Frame 3227: 32.21/85.58
  Frame 3228: 32.20/85.70
  Frame 3229: 32.19/85.72
  Frame 3230: 32.19/85.69
  Frame 3231: 32.19/85.67
  Frame 3232: 32.18/85.71
  Frame 3233: 32.18/85.69
  Frame 3234: 32.17/85.62
  Frame 3235: 32.16/85.58
  Frame 3236: 32.16/85.55
  Frame 3237: 32.15/85.53
  Frame 3238: 32.14/85.53
  Frame 3239: 32.13/85.53
  Frame 3240: 32.13/85.50
  Frame 3241: 32.12/85.50
  Frame 3242: 32.11/85.50
  Frame 3243: 32.09/85.50
  Frame 3244: 32.08/85.49
  Frame 3245: 32.06/85.47
  Frame 3246: 32.03/85.46
  Frame 3247: 32.00/85.43
  Frame 3248: 31.97/85.42
  Frame 3249: 31.92/85.42
  Frame 3250: 31.87/85.39
  Frame 3251: 31.81/85.34
  Frame 3252: 31.75/85.35
  Frame 3253: 31.66/85.36
  Frame 3254: 31.58/85.38
  Frame 3255: 31.48/85.42
  Frame 3256: 31.38/85.41
  Frame 3257: 31.27/85.46
  Frame 3258: 31.17/85.51
  Frame 3259: 31.06/85.52
  Frame 3260: 30.97/85.53
  Frame 3261: 30.88/85.55
  Frame 3262: 30.77/85.65
  Frame 3263: 30.70/85.64
  Frame 3264: 30.61/85.70
  Frame 3265: 30.55/85.73
  Frame 3266: 30.48/85.76
  Frame 3267: 30.43/85.79
  Frame 3268: 30.39/85.80
  Frame 3269: 30.36/85.86
  Frame 3270: 30.33/85.83
  Frame 3271: 30.31/85.84
  Frame 3272: 30.29/85.89
  Frame 3273: 30.27/85.88
  Frame 3274: 30.27/85.89
  Frame 3275: 30.26/85.89
  Frame 3276: 30.26/85.90
  Frame 3277: 30.26/85.92
  Frame 3278: 30.26/85.91
  Frame 3279: 30.27/85.95
  Frame 3280: 30.27/85.95
  Frame 3281: 30.28/85.99
  Frame 3282: 30.29/86.00
  Frame 3283: 30.29/86.03
  Frame 3284: 30.30/86.05
  Frame 3285: 30.31/86.07
  Frame 3286: 30.31/86.08
  Frame 3287: 30.31/86.11
  Frame 3288: 30.31/86.15
  Frame 3289: 30.32/86.16
  Frame 3290: 30.32/86.18
  Frame 3291: 30.32/86.21
  Frame 3292: 30.32/86.26
  Frame 3293: 30.33/86.29
  Frame 3294: 30.33/86.37
  Frame 3295: 30.34/86.47
  Frame 3296: 30.35/86.49
  Frame 3297: 30.36/86.64
  Frame 3298: 30.39/86.74
  Frame 3299: 30.41/86.73
  Frame 3300: 30.43/86.81
  Frame 3301: 30.46/86.84
  Frame 3302: 30.49/86.94
  Frame 3303: 30.52/87.08
  Frame 3304: 30.56/87.14
  Frame 3305: 30.58/87.30
  Frame 3306: 30.62/87.48
  Frame 3307: 30.62/87.48
  Frame 3308: 30.64/87.55
  Frame 3309: 30.65/87.49
  Frame 3310: 30.70/87.48
  Frame 3311: 30.72/87.51
  Frame 3312: 30.76/87.56
  Frame 3313: 30.77/87.70
  Frame 3314: 30.78/87.60
  Frame 3315: 30.82/87.54
  Frame 3316: 30.83/87.59
  Frame 3317: 30.83/87.53
  Frame 3318: 30.85/87.45
  Frame 3319: 30.86/87.08
  Frame 3320: 30.86/87.18
  Frame 3321: 30.87/86.67
  Frame 3322: 30.85/86.52
  Frame 3323: 30.88/86.32
  Frame 3324: 30.86/86.40
  Frame 3325: 30.86/85.99
  Frame 3326: 30.87/85.67
  Frame 3327: 30.88/85.31
  Frame 3328: 30.86/85.15
  Frame 3329: 30.84/84.96
  Frame 3330: 30.82/84.77
  Frame 3331: 30.82/84.66
  Frame 3332: 30.84/84.68
  Frame 3333: 30.81/83.97
  Frame 3334: 30.83/83.01
  Frame 3335: 30.78/83.29
  Frame 3336: 30.79/82.69
  Frame 3337: 30.77/82.46
  Frame 3338: 30.73/81.73
  Frame 3339: 30.74/81.76
  Frame 3340: 30.63/81.39
  Frame 3341: 30.63/80.99
  Frame 3342: 30.60/80.84
  Frame 3343: 30.57/80.75
  Frame 3344: 30.56/80.70
  Frame 3345: 30.48/80.99
  Frame 3346: 30.43/80.91
  Frame 3347: 30.44/80.86
  Frame 3348: 30.40/80.79
  Frame 3349: 30.39/80.99
  Frame 3350: 30.36/81.00
  Frame 3351: 30.37/80.94
  Frame 3352: 30.37/80.86
  Frame 3353: 30.32/80.91
  Frame 3354: 30.38/80.95
  Frame 3355: 30.31/80.97
  Frame 3356: 30.28/81.09
  Frame 3357: 30.26/80.99
  Frame 3358: 30.24/80.90
  Frame 3359: 30.22/81.01
  Frame 3360: 30.19/80.86
  Frame 3361: 30.13/80.86
  Frame 3362: 30.12/80.91
  Frame 3363: 30.07/80.80
  Frame 3364: 30.08/80.75
  Frame 3365: 30.08/80.67
  Frame 3366: 30.02/80.54
  Frame 3367: 29.97/80.54
  Frame 3368: 29.97/80.45
  Frame 3369: 29.94/80.49
  Frame 3370: 29.91/80.49
  Frame 3371: 29.90/80.35
  Frame 3372: 29.89/80.40
  Frame 3373: 29.82/80.37
  Frame 3374: 29.81/80.45
  Frame 3375: 29.77/80.37
  Frame 3376: 29.76/80.30
  Frame 3377: 29.72/80.31
  Frame 3378: 29.69/80.37
  Frame 3379: 29.68/80.32
  Frame 3380: 29.65/80.23
  Frame 3381: 29.62/80.14
  Frame 3382: 29.58/80.10
  Frame 3383: 29.57/80.14
  Frame 3384: 29.56/80.06
  Frame 3385: 29.53/80.13
  Frame 3386: 29.51/80.21
  Frame 3387: 29.49/80.34
  Frame 3388: 29.48/80.43
  Frame 3389: 29.45/80.39
  Frame 3390: 29.43/80.41
  Frame 3391: 29.40/80.43
  Frame 3392: 29.37/80.50
  Frame 3393: 29.35/80.45
  Frame 3394: 29.36/80.47
  Frame 3395: 29.33/80.55
  Frame 3396: 29.28/80.58
  Frame 3397: 29.25/80.63
  Frame 3398: 29.25/80.46
  Frame 3399: 29.24/80.46
  Frame 3400: 29.27/80.37
  Frame 3401: 29.29/80.38
  Frame 3402: 29.32/80.27
  Frame 3403: 29.32/80.33
  Frame 3404: 29.33/80.15
  Frame 3405: 29.32/80.12
  Frame 3406: 29.33/80.07
  Frame 3407: 29.35/79.96
  Frame 3408: 29.34/79.94
  Frame 3409: 29.37/79.93
  Frame 3410: 29.33/79.96
  Frame 3411: 29.35/79.68
  Frame 3412: 29.37/79.63
  Frame 3413: 29.37/79.64
  Frame 3414: 29.42/79.58
  Frame 3415: 29.44/79.56
  Frame 3416: 29.45/79.58
  Frame 3417: 29.47/79.58
  Frame 3418: 29.48/79.56
  Frame 3419: 29.51/79.62
  Frame 3420: 29.54/79.52
  Frame 3421: 29.56/79.54
  Frame 3422: 29.59/79.52
  Frame 3423: 29.61/79.42
  Frame 3424: 29.65/79.43
  Frame 3425: 29.67/79.42
  Frame 3426: 29.70/79.39
  Frame 3427: 29.72/79.37
  Frame 3428: 29.74/79.36
  Frame 3429: 29.75/79.35
  Frame 3430: 29.78/79.27
  Frame 3431: 29.78/79.23
  Frame 3432: 29.81/79.27
  Frame 3433: 29.82/79.28
  Frame 3434: 29.84/79.29
  Frame 3435: 29.84/79.23
  Frame 3436: 29.85/79.16
  Frame 3437: 29.89/79.21
  Frame 3438: 29.91/79.21
  Frame 3439: 29.91/79.19
  Frame 3440: 29.93/79.22
  Frame 3441: 29.94/79.19
  Frame 3442: 29.96/79.18
  Frame 3443: 29.97/79.25
  Frame 3444: 29.98/79.17
  Frame 3445: 29.99/79.16
  Frame 3446: 30.00/79.13
  Frame 3447: 30.01/79.12
  Frame 3448: 30.01/79.10
  Frame 3449: 30.01/79.15
  Frame 3450: 30.01/79.18
  Frame 3451: 30.02/79.13
  Frame 3452: 30.00/79.12
  Frame 3453: 30.00/79.16
  Frame 3454: 30.00/79.18
  Frame 3455: 29.99/79.16
  Frame 3456: 29.98/79.20
  Frame 3457: 29.98/79.19
  Frame 3458: 29.98/79.19
  Frame 3459: 29.98/79.19
  Frame 3460: 29.97/79.17
  Frame 3461: 29.97/79.15
  Frame 3462: 29.97/79.17
  Frame 3463: 29.97/79.10
  Frame 3464: 29.97/79.21
  Frame 3465: 29.97/79.10
  Frame 3466: 29.97/79.12
  Frame 3467: 29.98/79.01
  Frame 3468: 29.98/79.01
  Frame 3469: 29.98/78.96
  Frame 3470: 29.98/78.94
  Frame 3471: 29.98/78.91
  Frame 3472: 29.98/78.93
  Frame 3473: 29.98/78.90
  Frame 3474: 29.98/78.85
  Frame 3475: 29.98/78.81
  Frame 3476: 29.98/78.85
  Frame 3477: 29.97/78.86
  Frame 3478: 29.97/78.87
  Frame 3479: 29.97/78.84
  Frame 3480: 29.96/78.88
  Frame 3481: 29.96/78.91
  Frame 3482: 29.96/78.95
  Frame 3483: 29.96/78.95
  Frame 3484: 29.96/78.96
  Frame 3485: 29.96/78.97
  Frame 3486: 29.97/78.97
  Frame 3487: 29.97/78.97
  Frame 3488: 29.97/78.93
  Frame 3489: 29.97/78.97
  Frame 3490: 29.98/78.97
  Frame 3491: 29.99/78.92
  Frame 3492: 29.99/78.93
  Frame 3493: 30.00/78.89
  Frame 3494: 30.00/78.84
  Frame 3495: 30.01/78.83
  Frame 3496: 30.01/78.83
  Frame 3497: 30.01/78.82
  Frame 3498: 30.00/78.80
  Frame 3499: 30.00/78.80
  Frame 3500: 30.00/78.73
  Frame 3501: 30.00/78.71
  Frame 3502: 29.99/78.71
  Frame 3503: 29.99/78.75
  Frame 3504: 29.99/78.76
  Frame 3505: 29.98/78.78
  Frame 3506: 29.98/78.75
  Frame 3507: 29.97/78.77
  Frame 3508: 29.97/78.81
  Frame 3509: 29.96/78.86
  Frame 3510: 29.96/78.87
  Frame 3511: 29.96/78.90
  Frame 3512: 29.95/78.99
  Frame 3513: 29.95/79.01
  Frame 3514: 29.95/79.03
  Frame 3515: 29.95/79.05
  Frame 3516: 29.94/79.14
  Frame 3517: 29.94/79.14
  Frame 3518: 29.94/79.06
  Frame 3519: 29.94/79.03
  Frame 3520: 29.93/79.04
  Frame 3521: 29.93/79.05
  Frame 3522: 29.93/79.00
  Frame 3523: 29.93/79.00
  Frame 3524: 29.93/79.02
  Frame 3525: 29.93/78.99
  Frame 3526: 29.92/79.05
  Frame 3527: 29.93/79.07
  Frame 3528: 29.93/79.08
  Frame 3529: 29.93/79.07
  Frame 3530: 29.93/79.11
  Frame 3531: 29.92/79.13
  Frame 3532: 29.93/79.16
  Frame 3533: 29.93/79.16
  Frame 3534: 29.93/79.15
  Frame 3535: 29.94/79.16
  Frame 3536: 29.94/79.17
  Frame 3537: 29.94/79.20
  Frame 3538: 29.94/79.18
  Frame 3539: 29.95/79.16
  Frame 3540: 29.95/79.18
  Frame 3541: 29.96/79.19
  Frame 3542: 29.96/79.19
  Frame 3543: 29.96/79.21
  Frame 3544: 29.97/79.24
  Frame 3545: 29.97/79.28
  Frame 3546: 29.97/79.31
  Frame 3547: 29.97/79.34
  Frame 3548: 29.98/79.36
  Frame 3549: 29.98/79.39
  Frame 3550: 29.98/79.42
  Frame 3551: 29.99/79.43
  Frame 3552: 29.99/79.45
  Frame 3553: 29.99/79.47
  Frame 3554: 30.00/79.47
  Frame 3555: 30.00/79.47
  Frame 3556: 30.00/79.51
  Frame 3557: 30.00/79.51
  Frame 3558: 30.00/79.52
  Frame 3559: 30.00/79.52
  Frame 3560: 30.01/79.51
  Frame 3561: 30.00/79.52
  Frame 3562: 30.00/79.55
  Frame 3563: 30.01/79.54
  Frame 3564: 30.00/79.57
  Frame 3565: 30.00/79.56
  Frame 3566: 30.00/79.59
  Frame 3567: 30.00/79.60
  Frame 3568: 30.00/79.57
  Frame 3569: 30.00/79.55
  Frame 3570: 30.00/79.56
  Frame 3571: 30.00/79.56
  Frame 3572: 30.00/79.53
  Frame 3573: 30.00/79.50
  Frame 3574: 30.00/79.53
  Frame 3575: 30.00/79.45
  Frame 3576: 30.00/79.44
  Frame 3577: 29.99/79.45
  Frame 3578: 29.99/79.42
  Frame 3579: 29.99/79.44
  Frame 3580: 29.99/79.45
  Frame 3581: 29.99/79.44
  Frame 3582: 29.99/79.49
  Frame 3583: 29.99/79.50
  Frame 3584: 29.99/79.50
  Frame 3585: 29.99/79.54
  Frame 3586: 29.99/79.56
  Frame 3587: 29.98/79.63
  Frame 3588: 29.98/79.64
  Frame 3589: 29.98/79.68
  Frame 3590: 29.98/79.71
  Frame 3591: 29.98/79.71
  Frame 3592: 29.98/79.73
  Frame 3593: 29.98/79.72
  Frame 3594: 29.97/79.74
  Frame 3595: 29.98/79.71
  Frame 3596: 29.98/79.71
  Frame 3597: 29.97/79.70
  Frame 3598: 29.97/79.71
  Frame 3599: 29.97/79.71
  Frame 3600: 29.96/79.75
  Frame 3601: 29.96/79.75
  Frame 3602: 29.96/79.74
  Frame 3603: 29.95/79.71
  Frame 3604: 29.95/79.68
  Frame 3605: 29.95/79.70
  Frame 3606: 29.95/79.66
  Frame 3607: 29.94/79.58
  Frame 3608: 29.94/79.55
  Frame 3609: 29.94/79.53
  Frame 3610: 29.95/79.50
  Frame 3611: 29.94/79.49
  Frame 3612: 29.94/79.47
  Frame 3613: 29.94/79.51
  Frame 3614: 29.94/79.48
  Frame 3615: 29.94/79.45
  Frame 3616: 29.95/79.47
  Frame 3617: 29.94/79.46
  Frame 3618: 29.94/79.51
  Frame 3619: 29.94/79.52
  Frame 3620: 29.94/79.47
  Frame 3621: 29.94/79.52
  Frame 3622: 29.94/79.53
  Frame 3623: 29.94/79.54
  Frame 3624: 29.93/79.54
  Frame 3625: 29.93/79.53
  Frame 3626: 29.92/79.54
  Frame 3627: 29.92/79.53
  Frame 3628: 29.91/79.53
  Frame 3629: 29.91/79.52
  Frame 3630: 29.90/79.52
  Frame 3631: 29.90/79.52
  Frame 3632: 29.90/79.51
  Frame 3633: 29.91/79.49
  Frame 3634: 29.90/79.51
  Frame 3635: 29.90/79.49
  Frame 3636: 29.91/79.46
  Frame 3637: 29.91/79.48
  Frame 3638: 29.92/79.44
  Frame 3639: 29.93/79.47
  Frame 3640: 29.94/79.45
  Frame 3641: 29.94/79.45
  Frame 3642: 29.95/79.41
  Frame 3643: 29.95/79.44
  Frame 3644: 29.96/79.44
  Frame 3645: 29.96/79.47
  Frame 3646: 29.96/79.48
  Frame 3647: 29.96/79.48
  Frame 3648: 29.97/79.47
  Frame 3649: 29.97/79.51
  Frame 3650: 29.97/79.54
  Frame 3651: 29.97/79.61
  Frame 3652: 29.97/79.67
  Frame 3653: 29.97/79.66
  Frame 3654: 29.97/79.73
  Frame 3655: 29.97/79.77
  Frame 3656: 29.97/79.79
  Frame 3657: 29.97/79.81
  Frame 3658: 29.97/79.85
  Frame 3659: 29.97/79.85
  Frame 3660: 29.96/79.87
  Frame 3661: 29.97/79.91
  Frame 3662: 29.97/79.89
  Frame 3663: 29.96/79.88
  Frame 3664: 29.97/79.86
  Frame 3665: 29.96/79.84
  Frame 3666: 29.96/79.85
  Frame 3667: 29.96/79.85
  Frame 3668: 29.96/79.84
  Frame 3669: 29.95/79.86
  Frame 3670: 29.95/79.85
  Frame 3671: 29.95/79.86
  Frame 3672: 29.95/79.84
  Frame 3673: 29.94/79.85
  Frame 3674: 29.94/79.86
  Frame 3675: 29.94/79.85
  Frame 3676: 29.94/79.85
  Frame 3677: 29.94/79.86
  Frame 3678: 29.93/79.88
  Frame 3679: 29.93/79.91
  Frame 3680: 29.92/79.94
  Frame 3681: 29.92/79.94
  Frame 3682: 29.92/79.92
  Frame 3683: 29.91/79.93
  Frame 3684: 29.91/79.91
  Frame 3685: 29.91/79.94
  Frame 3686: 29.91/79.89
  Frame 3687: 29.90/79.94
  Frame 3688: 29.90/79.88
  Frame 3689: 29.89/79.84
  Frame 3690: 29.90/79.79
  Frame 3691: 29.90/79.78
  Frame 3692: 29.90/79.76
  Frame 3693: 29.90/79.76
  Frame 3694: 29.90/79.71
  Frame 3695: 29.90/79.70
  Frame 3696: 29.91/79.70
  Frame 3697: 29.91/79.67
  Frame 3698: 29.91/79.66
  Frame 3699: 29.92/79.65
  Frame 3700: 29.92/79.66
  Frame 3701: 29.92/79.66
  Frame 3702: 29.92/79.67
  Frame 3703: 29.92/79.65
  Frame 3704: 29.92/79.63
  Frame 3705: 29.93/79.49
  Frame 3706: 29.93/79.49
  Frame 3707: 29.93/79.49
  Frame 3708: 29.93/79.47
  Frame 3709: 29.93/79.45
  Frame 3710: 29.93/79.42
  Frame 3711: 29.93/79.44
  Frame 3712: 29.93/79.41
  Frame 3713: 29.93/79.39
  Frame 3714: 29.94/79.39
  Frame 3715: 29.94/79.39
  Frame 3716: 29.94/79.38
  Frame 3717: 29.94/79.40
  Frame 3718: 29.94/79.40
  Frame 3719: 29.94/79.38
  Frame 3720: 29.94/79.37
  Frame 3721: 29.94/79.40
  Frame 3722: 29.94/79.41
  Frame 3723: 29.94/79.39
  Frame 3724: 29.94/79.41
  Frame 3725: 29.94/79.42
  Frame 3726: 29.93/79.39
  Frame 3727: 29.93/79.40
  Frame 3728: 29.92/79.39
  Frame 3729: 29.92/79.38
  Frame 3730: 29.91/79.38
  Frame 3731: 29.91/79.35
  Frame 3732: 29.90/79.35
  Frame 3733: 29.90/79.35
  Frame 3734: 29.89/79.35
  Frame 3735: 29.89/79.33
  Frame 3736: 29.89/79.33
  Frame 3737: 29.88/79.33
  Frame 3738: 29.88/79.30
  Frame 3739: 29.89/79.27
  Frame 3740: 29.88/79.25
  Frame 3741: 29.88/79.24
  Frame 3742: 29.88/79.24
  Frame 3743: 29.88/79.22
  Frame 3744: 29.88/79.19
  Frame 3745: 29.88/79.20
  Frame 3746: 29.88/79.23
  Frame 3747: 29.88/79.22
  Frame 3748: 29.88/79.21
  Frame 3749: 29.88/79.25
  Frame 3750: 29.88/79.25
  Frame 3751: 29.88/79.25
  Frame 3752: 29.88/79.24
  Frame 3753: 29.88/79.25
  Frame 3754: 29.88/79.25
  Frame 3755: 29.88/79.23
  Frame 3756: 29.88/79.23
  Frame 3757: 29.88/79.18
  Frame 3758: 29.89/79.14
  Frame 3759: 29.89/79.12
  Frame 3760: 29.89/79.09
  Frame 3761: 29.88/79.06
  Frame 3762: 29.89/78.99
  Frame 3763: 29.88/78.99
  Frame 3764: 29.87/78.98
  Frame 3765: 29.87/78.97
  Frame 3766: 29.87/78.96
  Frame 3767: 29.86/78.96
  Frame 3768: 29.85/78.98
  Frame 3769: 29.84/78.95
  Frame 3770: 29.83/78.96
  Frame 3771: 29.82/79.03
  Frame 3772: 29.81/79.05
  Frame 3773: 29.80/79.10
  Frame 3774: 29.78/79.13
  Frame 3775: 29.76/79.21
  Frame 3776: 29.76/79.26
  Frame 3777: 29.73/79.33
  Frame 3778: 29.71/79.32
  Frame 3779: 29.68/79.39
  Frame 3780: 29.68/79.36
  Frame 3781: 29.68/79.41
  Frame 3782: 29.62/79.41
  Frame 3783: 29.63/79.41
  Frame 3784: 29.62/79.43
  Frame 3785: 29.67/79.50
  Frame 3786: 29.64/79.51
  Frame 3787: 29.63/79.48
  Frame 3788: 29.62/79.44
  Frame 3789: 29.61/79.53
  Frame 3790: 29.64/79.43
  Frame 3791: 29.64/79.40
  Frame 3792: 29.65/79.44
  Frame 3793: 29.63/79.36
  Frame 3794: 29.72/79.36
  Frame 3795: 29.65/79.64
  Frame 3796: 29.66/79.59
  Frame 3797: 29.68/79.56
  Frame 3798: 29.69/79.49
  Frame 3799: 29.70/79.57
  Frame 3800: 29.72/79.62
  Frame 3801: 29.72/79.61
  Frame 3802: 29.72/79.68
  Frame 3803: 29.68/79.77
  Frame 3804: 29.71/79.74
  Frame 3805: 29.72/79.79
  Frame 3806: 29.77/79.68
  Frame 3807: 29.75/79.65
  Frame 3808: 29.80/79.67
  Frame 3809: 29.77/79.75
  Frame 3810: 29.71/79.81
  Frame 3811: 29.77/79.79
  Frame 3812: 29.78/79.82
  Frame 3813: 29.80/79.92
  Frame 3814: 29.73/79.95
  Frame 3815: 29.79/79.92
  Frame 3816: 29.79/79.93
  Frame 3817: 29.78/80.23
  Frame 3818: 29.87/79.85
  Frame 3819: 29.87/80.13
  Frame 3820: 29.89/80.15
  Frame 3821: 29.92/80.14
  Frame 3822: 29.96/80.12
  Frame 3823: 29.99/80.14
  Frame 3824: 29.96/79.97
  Frame 3825: 30.02/79.96
  Frame 3826: 30.05/80.04
  Frame 3827: 29.99/79.85
  Frame 3828: 30.08/79.79
  Frame 3829: 30.08/79.67
  Frame 3830: 29.99/79.75
  Frame 3831: 30.03/79.79
  Frame 3832: 30.10/79.71
  Frame 3833: 30.08/79.88
  Frame 3834: 30.05/79.70
  Frame 3835: 30.05/79.66
  Frame 3836: 30.07/79.67
  Frame 3837: 30.04/79.87
  Frame 3838: 30.05/79.73
  Frame 3839: 30.14/79.56
  Frame 3840: 30.01/79.69
  Frame 3841: 30.00/79.49
  Frame 3842: 30.06/79.37
  Frame 3843: 30.01/79.50
  Frame 3844: 30.04/79.34
  Frame 3845: 29.97/79.54
  Frame 3846: 29.83/79.58
  Frame 3847: 29.91/79.42
  Frame 3848: 29.90/79.36
  Frame 3849: 29.91/79.38
  Frame 3850: 29.91/79.40
  Frame 3851: 29.76/79.50
  Frame 3852: 29.82/79.33
  Frame 3853: 29.85/79.08
  Frame 3854: 29.90/78.85
  Frame 3855: 29.90/78.98
  Frame 3856: 29.90/79.07
  Frame 3857: 29.91/79.17
  Frame 3858: 29.90/79.23
  Frame 3859: 29.87/79.35
  Frame 3860: 29.87/79.32
  Frame 3861: 29.90/79.40
  Frame 3862: 29.89/79.48
  Frame 3863: 29.94/79.48
  Frame 3864: 29.96/79.66
  Frame 3865: 30.03/79.62
  Frame 3866: 30.09/79.57
  Frame 3867: 30.21/80.51
  Frame 3868: 30.31/81.28
  Frame 3869: 30.43/82.45
  Frame 3870: 30.55/83.39
  Frame 3871: 30.70/84.38
  Frame 3872: 30.80/85.18
  Frame 3873: 30.91/86.05
  Frame 3874: 31.07/86.99
  Frame 3875: 31.22/87.81
  Frame 3876: 31.36/88.50
  Frame 3877: 31.52/89.52
  Frame 3878: 31.69/89.97
  Frame 3879: 31.83/90.81
  Frame 3880: 31.97/91.49
  Frame 3881: 32.11/92.19
  Frame 3882: 32.25/92.38
  Frame 3883: 32.36/93.25
  Frame 3884: 32.45/93.36
  Frame 3885: 32.54/93.79
  Frame 3886: 32.60/94.08
  Frame 3887: 32.66/94.29
  Frame 3888: 32.71/94.27
  Frame 3889: 32.73/94.33
  Frame 3890: 32.74/94.32
  Frame 3891: 32.71/94.40
  Frame 3892: 32.69/94.32
  Frame 3893: 32.66/93.96
  Frame 3894: 32.62/93.81
  Frame 3895: 32.59/93.43
  Frame 3896: 32.55/93.41
  Frame 3897: 32.51/93.07
  Frame 3898: 32.46/92.92
  Frame 3899: 32.42/92.57
  Frame 3900: 32.38/92.43
  Frame 3901: 32.34/92.15
  Frame 3902: 32.30/91.89
  Frame 3903: 32.25/91.65
  Frame 3904: 32.21/91.51
  Frame 3905: 32.17/91.18
  Frame 3906: 32.12/90.75
  Frame 3907: 32.08/90.56
  Frame 3908: 32.02/90.28
  Frame 3909: 31.96/89.80
  Frame 3910: 31.92/89.53
  Frame 3911: 31.86/88.95
  Frame 3912: 31.79/88.50
  Frame 3913: 31.72/88.14
  Frame 3914: 31.64/87.35
  Frame 3915: 31.60/86.89
  Frame 3916: 31.52/86.23
  Frame 3917: 31.46/85.59
  Frame 3918: 31.37/84.63
  Frame 3919: 31.29/84.35
  Frame 3920: 31.21/83.29
  Frame 3921: 31.15/82.43
  Frame 3922: 31.07/81.48
  Frame 3923: 31.02/81.73
  Frame 3924: 30.98/81.93
  Frame 3925: 30.93/81.28
  Frame 3926: 30.90/81.13
  Frame 3927: 30.85/80.65
  Frame 3928: 30.81/80.45
  Frame 3929: 30.82/80.14
  Frame 3930: 30.81/79.69
  Frame 3931: 30.82/79.72
  Frame 3932: 30.90/79.53
  Frame 3933: 30.91/79.21
  Frame 3934: 30.96/79.13
  Frame 3935: 31.01/79.05
  Frame 3936: 31.09/78.83
  Frame 3937: 31.17/78.92
  Frame 3938: 31.27/78.67
  Frame 3939: 31.13/78.75
  Frame 3940: 31.21/78.73
  Frame 3941: 31.35/78.62
  Frame 3942: 31.43/78.62
  Frame 3943: 31.55/78.96
  Frame 3944: 31.59/79.35
  Frame 3945: 31.67/79.86
  Frame 3946: 31.72/80.25
  Frame 3947: 31.75/80.61
  Frame 3948: 31.33/78.66
  Frame 3949: 31.23/78.13
  Frame 3950: 31.22/77.89
  Frame 3951: 31.21/77.75
  Frame 3952: 31.26/78.38
  Frame 3953: 31.35/79.02
  Frame 3954: 31.45/79.50
  Frame 3955: 31.55/79.77
  Frame 3956: 31.66/80.43
  Frame 3957: 31.58/79.99
  Frame 3958: 31.57/80.15
  Frame 3959: 31.46/79.90
  Frame 3960: 31.09/78.62
  Frame 3961: 30.94/78.98
  Frame 3962: 30.94/79.08
  Frame 3963: 30.99/78.88
  Frame 3964: 30.98/78.87
  Frame 3965: 30.98/78.89
  Frame 3966: 30.99/79.16
  Frame 3967: 31.01/79.03
  Frame 3968: 31.01/79.13
  Frame 3969: 31.06/79.12
  Frame 3970: 31.01/79.17
  Frame 3971: 31.00/79.30
  Frame 3972: 30.94/79.49
  Frame 3973: 30.94/79.55
  Frame 3974: 31.01/79.37
  Frame 3975: 30.99/79.42
  Frame 3976: 31.02/79.26
  Frame 3977: 31.01/79.36
  Frame 3978: 31.03/79.29
  Frame 3979: 31.04/79.15
  Frame 3980: 31.07/79.12
  Frame 3981: 31.03/79.24
  Frame 3982: 31.04/79.28
  Frame 3983: 31.05/79.36
  Frame 3984: 31.05/79.41
  Frame 3985: 31.08/79.44
  Frame 3986: 31.05/79.51
  Frame 3987: 31.08/79.34
  Frame 3988: 31.08/79.34
  Frame 3989: 31.08/79.42
  Frame 3990: 31.09/79.45
  Frame 3991: 31.09/79.40
  Frame 3992: 31.13/79.43
  Frame 3993: 31.14/79.31
  Frame 3994: 31.15/79.30
  Frame 3995: 31.19/79.24
  Frame 3996: 31.18/79.01
  Frame 3997: 31.19/79.10
  Frame 3998: 31.22/79.05
  Frame 3999: 31.18/79.22
  Frame 4000: 31.18/79.30
  Frame 4001: 31.18/79.33
  Frame 4002: 31.22/79.27
  Frame 4003: 31.24/79.27
  Frame 4004: 31.25/79.25
  Frame 4005: 31.24/79.19
  Frame 4006: 31.24/79.17
  Frame 4007: 31.25/79.31
  Frame 4008: 31.24/79.16
  Frame 4009: 31.25/79.13
  Frame 4010: 31.23/79.22
  Frame 4011: 31.23/79.24
  Frame 4012: 31.24/79.17
  Frame 4013: 31.23/79.22
  Frame 4014: 31.23/79.20
  Frame 4015: 31.22/79.15
  Frame 4016: 31.22/79.14
  Frame 4017: 31.21/79.19
  Frame 4018: 31.21/79.18
  Frame 4019: 31.20/79.17
  Frame 4020: 31.19/79.14
  Frame 4021: 31.18/79.08
  Frame 4022: 31.18/79.05
  Frame 4023: 31.16/78.99
  Frame 4024: 31.15/79.04
  Frame 4025: 31.12/79.05
  Frame 4026: 31.11/79.07
  Frame 4027: 31.10/79.11
  Frame 4028: 31.08/79.03
  Frame 4029: 31.05/79.06
  Frame 4030: 31.03/79.01
  Frame 4031: 31.00/79.10
  Frame 4032: 30.97/79.02
  Frame 4033: 30.92/79.00
  Frame 4034: 30.88/79.02
  Frame 4035: 30.83/78.86
  Frame 4036: 30.78/78.92
  Frame 4037: 30.72/79.04
